name,displayName,url,profileCount,range,isEstimated
J.P. Morgan Chase & Co. (JPMCC),,/research/US/Job=Application_Support_Analyst/Salary/885ac9bd/J.P.-Morgan-Chase-%26-Co.-JPMCC,11,{'50': 80000},
BlackLine Systems,,/research/US/Job=Application_Support_Analyst/Hourly_Rate/04fe4cc3/BlackLine-Systems,10,{'50': None},
Accenture,,/research/US/Job=Application_Support_Analyst/Salary/8d28d52e/Accenture,9,{'50': 50187.25},
Cognizant,,/research/US/Job=Application_Support_Analyst/Salary/d75abd50/Cognizant,8,{'50': 68582.98},
"Alex Lee, Inc.",,/research/US/Job=Application_Support_Analyst/Salary/cd258f99/Alex-Lee-Inc.,7,{'50': 43000},
Elliot Hospital,,/research/US/Job=Application_Support_Analyst/Salary/6f265716/Elliot-Hospital,7,{'50': 71868.74},
"WesBanco Bank, Inc.",,/research/US/Job=Application_Support_Analyst/Hourly_Rate/d526ed7a/WesBanco-Bank-Inc.,7,{'50': 48494.85},
Thomson Reuters,,/research/US/Job=Application_Support_Analyst/Salary/2a91bb1f/Thomson-Reuters,6,{'50': 37700},
"Netsmart Technologies, Inc.",,/research/US/Job=Application_Support_Analyst/Salary/26e0138f/Netsmart-Technologies-Inc.,6,{'50': 60377.31},
Indiana University (IU) Health,,/research/US/Job=Application_Support_Analyst/Salary/099e640d/Indiana-University-IU-Health,5,{'50': 70500},
Jack Henry & Associates Inc (JKHY),,/research/US/Job=Application_Support_Analyst/Salary/c6d16199/Jack-Henry-%26-Associates-Inc-JKHY,5,{'50': 59816.29},
JPMorgan Chase & Co.,,/research/US/Job=Application_Support_Analyst/Salary/e8ff2d87/JPMorgan-Chase-%26-Co.,5,{'50': 73625},
Kindred Healthcare,,/research/US/Job=Application_Support_Analyst/Hourly_Rate/928738cb/Kindred-Healthcare,5,{'50': None},
Bank of America Corp. (BOFA),,/research/US/Job=Application_Support_Analyst/Hourly_Rate/c75b5165/Bank-of-America-Corp.-BOFA,5,{'50': 120000},
"Aetna, Inc.",,/research/US/Job=Application_Support_Analyst/Salary/5875d258/Aetna-Inc.,5,{'50': 57625.89},
"Dell, Inc.",,/research/US/Job=Application_Support_Analyst/Salary/5d9599f0/Dell-Inc.,5,{'50': 50000},
Deutsche Bank,,/research/US/Job=Application_Support_Analyst/Salary/8b0694d0/Deutsche-Bank,5,{'50': 80000},
Dignity Health,,/research/US/Job=Application_Support_Analyst/Salary/f83f44a7/Dignity-Health,5,{'50': 78571.43},
Trapeze Group,,/research/US/Job=Application_Support_Analyst/Salary/d6888f9f/Trapeze-Group,5,{'50': 59900},
WellStar Health System,,/research/US/Job=Application_Support_Analyst/Salary/25b9007c/WellStar-Health-System,5,{'50': 73538.84},
"Qad, Inc.",,/research/US/Job=Application_Support_Analyst/Hourly_Rate/f17610ea/Qad-Inc.,5,{'50': None},
Rensselaer Polytechnic Institute (RPI),,/research/US/Job=Application_Support_Analyst/Salary/7045ec32/Rensselaer-Polytechnic-Institute-RPI,5,{'50': 56837.29},
Sanford Health,,/research/US/Job=Application_Support_Analyst/Salary/81cdfce2/Sanford-Health,5,{'50': 53512.63},
Sedgwick County,,/research/US/Job=Application_Support_Analyst/Hourly_Rate/1fe95e7a/Sedgwick-County,5,{'50': None},
