name,job_title,median_salary,profile_count
"Covance, Inc",Biostatistician,78480.61,5
The Cleveland Clinic,Biostatistician,67000.0,5
New York City Department of Health,Biostatistician,100000.0,5
Oregon Health and Science University (OHSU),Biostatistician,71363.17,5
"Pharmaceutical Product Development (PPD), Inc",Biostatistician,75000.0,5
Mount Sinai Medical Center,Biostatistician,65000.0,3
Cisco Systems Inc,Business_Analyst_(Computer_Software%2FHardware%2FSystems),87000.0,7
Oracle Corp.,Business_Analyst_(Computer_Software%2FHardware%2FSystems),76000.0,6
Amazon.com Inc,Business_Analyst_(Computer_Software%2FHardware%2FSystems),77500.0,5
Centene Corporation,Business_Analyst_(Computer_Software%2FHardware%2FSystems),58983.05,5
Hewlett Packard Enterprise,Business_Analyst_(Computer_Software%2FHardware%2FSystems),60277.5,5
Hewlett-Packard Company,Business_Analyst_(Computer_Software%2FHardware%2FSystems),65648.87,5
Intel Corporation,Business_Analyst_(Computer_Software%2FHardware%2FSystems),81500.0,5
UnitedHealth Group,Business_Analyst_(Computer_Software%2FHardware%2FSystems),72750.0,5
The Church of Jesus Christ of Latter-Day Saints,Business_Analyst_(Computer_Software%2FHardware%2FSystems),58099.09,5
CBRE Group,Business_Analyst_(Computer_Software%2FHardware%2FSystems),69874.06,5
CGI Group Inc.,Business_Analyst_(Computer_Software%2FHardware%2FSystems),46914.89,2
"Realpage, Inc.",Business_Analyst_(Computer_Software%2FHardware%2FSystems),45250.0,2
Amazon.com Inc,Business_Analyst%2C_Data_Warehouse,70500.0,5
Amazon.com Inc,Business_Analyst%2C_Database,65000.0,7
Centene Corporation,Business_Analyst%2C_Database,66496.24,6
"Booz, Allen, and Hamilton",Business_Analyst%2C_IT,86352.46,25
CGI Federal,Business_Analyst%2C_IT,64853.92,25
CGI Group Inc.,Business_Analyst%2C_IT,68012.16,25
Ford Motor Company,Business_Analyst%2C_IT,82691.66,23
EY (Ernst & Young),Business_Analyst%2C_IT,53465.84,22
Quicken Loans,Business_Analyst%2C_IT,67389.92,21
Accenture,Business_Analyst%2C_IT,78183.87,21
InfoSys Limited,Business_Analyst%2C_IT,76000.0,18
Science Applications International Corporation (SAIC),Business_Analyst%2C_IT,63672.21,16
"TEKsystems, Inc",,,15
General Motors Corporation,Business_Analyst%2C_IT,79665.38,15
Boston Scientific Corporation,Business_Analyst%2C_IT,61369.31,15
Cisco Systems Inc,Business_Analyst%2C_IT,89000.0,15
Deloitte,Business_Analyst%2C_IT,66962.27,14
Avanade Corporation,Business_Analyst%2C_IT,63493.28,13
Bank of America Corp. (BOFA),Business_Analyst%2C_IT,120000.0,12
Hussmann Corporation,Business_Analyst%2C_IT,51219.51,12
Hewlett Packard Enterprise,Business_Analyst%2C_IT,67575.19,12
