name,job_title,median_salary,profile_count
Development Operations (DevOps),Application_Developer,69716.52,8
Go (Golang) Programming Language,Application_Developer,83400.0,8
System Integration,Application_Developer,65010.4,8
Visual Studio,Application_Developer,65000.0,7
Vue.js,Application_Developer,80000.0,7
Windows Programming / API,Application_Developer,69998.34,7
IBM Mainframe,Application_Developer,66100.0,7
Git,Application_Developer,73000.0,7
Data Warehouse,Application_Developer,71750.43,7
Database,Application_Developer,64000.0,7
Customer Relationship Management (CRM),Application_Developer,60500.0,7
Cloud Computing,Application_Developer,70475.0,7
Cognos,Application_Developer,55000.0,7
ArcGIS,Application_Developer,90000.0,7
Apache HTTP Server,Application_Developer,50050.46,7
Selenium Automated Test Tool,Application_Developer,72500.0,7
Ruby,Application_Developer,75000.0,7
R,Application_Developer,72715.0,7
React Native,Application_Developer,73250.0,7
PeopleSoft,Application_Developer,60881.99,7
Microsoft .NET,Application_Developer,73697.64,7
Microsoft Access,Application_Developer,76339.87,6
Microservices,Application_Developer,75000.0,6
Microsoft Excel,Application_Developer,53000.0,6
Microsoft Office,Application_Developer,56250.0,6
PeopleCode,Application_Developer,74860.0,6
MuleSoft Mule ESB,Application_Developer,76137.5,6
Redux.js,Application_Developer,85000.0,6
ServiceNow,Application_Developer,69972.5,6
Scrum,Application_Developer,66392.48,6
Software Architecture,Application_Developer,80496.89,6
SQL Server Integration Services (SSIS),Application_Developer,85000.0,6
Apache Struts,Application_Developer,79505.0,6
COBOL -- IBM,Application_Developer,63707.52,6
ElasticSearch,Application_Developer,69338.38,6
"ETL (Extract, transform, load)",Application_Developer,70000.0,6
Database Administration,Application_Developer,45000.0,6
Django,Application_Developer,79000.0,6
Docker,Application_Developer,80000.0,6
Google Cloud Platform (GCP),Application_Developer,95000.0,6
Groovy Programming Language,Application_Developer,55000.0,6
Xamarin,Application_Developer,69212.48,6
XML Web Services,Application_Developer,70738.01,6
VBScript,Application_Developer,69010.0,6
User Experience (UX) Design,Application_Developer,60000.0,6
Technical Analysis,Application_Developer,70198.17,6
Test Automation,,60787.5,5
Tableau Software,Application_Developer,99000.0,5
Team Foundation Server (TFS),Application_Developer,63509.43,5
Windows Communication Foundation (WCF),Application_Developer,96432.76,5
Windows PowerShell,Application_Developer,79698.0,5
Web Design,Application_Developer,57600.0,5
Windows Server 2012 R2,Application_Developer,61423.5,5
Wordpress,Application_Developer,54350.0,5
Help Desk / Desktop Support (Tier 2),Application_Developer,68500.0,5
Geographic Information Systems (GIS),Application_Developer,85000.0,5
Extensible Stylesheet Language Transformations (XSLT),Application_Developer,90000.0,5
IBM CICS (Customer Information Control System),Application_Developer,79063.0,5
iOS SDK,Application_Developer,49131.76,5
Drupal,Application_Developer,70553.0,5
Delphi,Application_Developer,58700.0,5
Crystal Reports,Application_Developer,70000.0,5
Big Data Analytics,Application_Developer,80500.0,5
Business Analysis,,80200.91,5
C Programming Language,Application_Developer,87393.24,5
Apache Tomcat Application Server,Application_Developer,84505.0,5
Apache Spark,Application_Developer,126342.56,5
Apache Kafka,Application_Developer,70410.81,5
Apache Hadoop,Application_Developer,85000.0,5
Android Operating System Development,Application_Developer,61700.4,5
SQL Server Reporting Services (SSRS),Application_Developer,59953.0,5
Shell Scripting,Application_Developer,74000.0,5
PowerBuilder,Application_Developer,80000.0,5
Red Hat Enterprise Linux (RHEL),Application_Developer,71000.0,5
NetSuite Software,Application_Developer,84039.19,5
Network Management / Administration,Application_Developer,44339.0,5
Mobile applications development,Application_Developer,75000.0,5
Oracle 11g,Application_Developer,75000.0,5
Microsoft Dynamics AX,Application_Developer,80000.0,5
Microsoft Active Directory,Application_Developer,61250.0,5
ADABAS DBMS and NATURAL Programming Language,Application_Developer,64153.65,4
Enterprise Resource Planning (ERP),Application_Developer,78571.43,4
IBM WebSphere,Application_Developer,79000.0,4
JavaServer Pages (JSP),Application_Developer,60000.0,3
Subversion (SVN),Application_Developer,78522.85,3
TIBCO,Application_Developer,65020.8,3
Spring Web Flow,Application_Developer,70045.0,2
Jenkins,Application_Developer,61530.0,2
Adobe Photoshop,Application_Developer,51000.0,2
Application Development,Application_Integration_Engineer,90000.0,6
Information Technology (IT) Support,Application_Support_Analyst,67190.43,563
Troubleshooting,Application_Support_Analyst,65756.68,549
Customer Service,Application_Support_Analyst,62334.03,304
SQL,Application_Support_Analyst,65927.57,272
Production Support,Application_Support_Analyst,71745.2,213
Applications,Application_Support_Analyst,67527.99,141
Microsoft SQL Server,Application_Support_Analyst,64060.85,79
Project Management,Application_Support_Analyst,71563.62,64
Microsoft Office,Application_Support_Analyst,56787.34,59
Internet Information Server (IIS),Application_Support_Analyst,60507.6,49
Oracle SQL Developer,Application_Support_Analyst,68154.36,48
Electronic Medical Records (EMR),Application_Support_Analyst,71138.56,43
